City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
577,Mormugao,IN,86.0,few clouds,15.4,73.8,Coconut Creek Resort
595,Ko Samui,TH,87.8,scattered clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
601,Katobu,ID,88.2,overcast clouds,-4.9408,122.5276,La Ode Husein
627,Keningau,MY,87.8,light rain,5.3378,116.1602,Sabindo Hotel
630,Bintulu,MY,86.0,scattered clouds,3.1667,113.0333,900 Boutique INN
632,Padang,ID,86.0,moderate rain,-0.9492,100.3543,Mercure Padang
639,Singkang,MY,89.6,scattered clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
640,Popondetta,PG,89.24,broken clouds,-8.7537,148.2534,Timos Transit House
648,Auki,SB,83.93,overcast clouds,-8.7676,160.7034,Auki Motel
674,Honiara,SB,83.34,moderate rain,-9.4333,159.95,Heritage Park Hotel
675,Akyab,MM,87.37,clear sky,20.15,92.9,Hotel Memory
679,Aloleng,PH,84.76,clear sky,16.1307,119.7824,Agno Umbrella Rocks
