City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,San Patricio,US,2021-04-05 04:50:46,28.017,-97.5169,66.0,88,75,8.05,broken clouds
60,Hirado,JP,2021-04-05 04:50:47,33.3597,129.5531,62.6,45,40,20.71,scattered clouds
61,Dargaville,NZ,2021-04-05 04:50:47,-35.9333,173.8833,67.33,69,98,7.07,overcast clouds
62,Hay River,CA,2021-04-05 04:50:47,60.8156,-115.7999,15.8,67,93,3.44,overcast clouds
63,Kodiak,US,2021-04-05 04:50:47,57.79,-152.4072,39.2,41,1,21.85,clear sky
64,Agadir,MA,2021-04-05 04:50:48,30.4202,-9.5982,55.4,94,5,5.75,clear sky
65,Shakawe,BW,2021-04-05 04:50:48,-18.3667,21.85,63.5,62,1,4.43,clear sky
66,Rincon,US,2021-04-05 04:50:48,32.296,-81.2354,53.6,58,1,4.99,clear sky
67,Eureka,US,2021-04-05 04:50:49,40.8021,-124.1637,48.99,87,83,0.94,broken clouds
68,Platanos,GR,2021-04-05 04:50:49,37.6667,21.6167,51.8,100,20,1.68,few clouds
69,Verkhnyaya Inta,RU,2021-04-05 04:50:49,65.9811,60.3094,19.96,91,90,2.8,overcast clouds
70,Kaitangata,NZ,2021-04-05 04:50:49,-46.2817,169.8464,57.0,53,95,15.01,light rain
71,Souillac,MU,2021-04-05 04:50:50,-20.5167,57.5167,82.4,74,40,14.97,scattered clouds
72,Okhotsk,RU,2021-04-05 04:50:50,59.3833,143.3,25.88,86,100,5.91,light snow
73,Bambous Virieux,MU,2021-04-05 04:50:50,-20.3428,57.7575,84.99,74,40,14.97,scattered clouds
74,Eyl,SO,2021-04-05 04:50:50,7.9803,49.8164,82.54,65,88,6.06,overcast clouds
75,Bredasdorp,ZA,2021-04-05 04:50:51,-34.5322,20.0403,62.6,100,100,8.05,overcast clouds
76,Margate,GB,2021-04-05 04:50:51,51.3813,1.3862,46.99,70,83,4.0,broken clouds
77,Chumikan,RU,2021-04-05 04:50:51,54.7183,135.315,31.28,80,30,1.03,scattered clouds
78,Estreito,BR,2021-04-05 04:48:36,-5.7833,-43.25,72.14,81,78,1.01,broken clouds
