City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Korla,CN,2021-04-04 19:42:30,41.7597,86.1469,49.32,29,0,15.17
1,Walvis Bay,NA,2021-04-04 19:43:07,-22.9575,14.5053,76.37,50,5,10.78
2,Victoria,HK,2021-04-04 19:41:15,22.2855,114.1577,72.0,91,100,1.99
3,Bambous Virieux,MU,2021-04-04 19:41:13,-20.3428,57.7575,81.0,76,38,7.0
4,Cozumel,MX,2021-04-04 19:40:24,20.5083,-86.9458,82.4,47,20,20.71
5,Chokurdakh,RU,2021-04-04 19:41:16,70.6333,147.9167,-29.69,100,49,4.63
6,Coquimbo,CL,2021-04-04 19:41:32,-29.9533,-71.3436,66.2,63,75,8.05
7,Casper,US,2021-04-04 19:43:07,42.8666,-106.3131,72.0,14,1,6.91
8,Mahebourg,MU,2021-04-04 19:39:00,-20.4081,57.7,81.0,75,27,7.0
9,Albany,US,2021-04-04 19:38:52,42.6001,-73.9662,59.0,25,36,9.51
10,La Ronge,CA,2021-04-04 19:42:44,55.1001,-105.2842,37.4,81,90,13.8
11,Rikitea,PF,2021-04-04 19:41:16,-23.1203,-134.9692,77.25,68,87,17.2
12,Souillac,MU,2021-04-04 19:41:13,-20.5167,57.5167,81.0,76,15,7.0
13,Hilo,US,2021-04-04 19:41:24,19.7297,-155.09,77.0,65,20,5.75
14,Lebu,CL,2021-04-04 19:41:31,-37.6167,-73.65,60.69,69,39,11.43
15,Iqaluit,CA,2021-04-04 19:41:56,63.7506,-68.5145,10.4,79,20,5.75
16,Bilibino,RU,2021-04-04 19:43:08,68.0546,166.4372,-14.57,96,33,2.37
17,Saint-Philippe,RE,2021-04-04 19:41:10,-21.3585,55.7679,78.8,73,0,5.75
18,New Norfolk,AU,2021-04-04 19:41:44,-42.7826,147.0587,53.01,68,33,3.18
19,Hobart,AU,2021-04-04 19:38:30,-42.8794,147.3294,53.01,76,32,8.05
20,Marzuq,YE,2021-04-04 19:43:09,14.4,46.4667,71.06,25,3,4.88
21,Katangli,RU,2021-04-04 19:43:09,51.7102,143.2326,12.16,83,4,8.84
22,Vaini,TO,2021-04-04 19:41:14,-21.2,-175.2,77.0,73,20,8.05
23,Guayaramerin,BO,2021-04-04 19:43:09,-10.8368,-65.3614,86.0,66,75,4.61
24,Punta Arenas,CL,2021-04-04 19:41:13,-53.15,-70.9167,50.0,53,40,21.85
25,Gobabis,NA,2021-04-04 19:41:13,-22.45,18.9667,74.43,34,4,8.34
26,East London,ZA,2021-04-04 19:38:18,-33.0153,27.9116,66.2,63,0,5.75
27,Bac Lieu,VN,2021-04-04 19:42:12,9.285,105.7244,81.32,78,40,12.44
28,Avarua,CK,2021-04-04 19:41:15,-21.2078,-159.775,82.4,78,75,17.27
29,Khatanga,RU,2021-04-04 19:42:17,71.9667,102.5,-12.46,87,10,9.01
30,Ushuaia,AR,2021-04-04 19:38:09,-54.8,-68.3,48.2,53,40,11.5
31,Mataura,NZ,2021-04-04 19:41:12,-46.1927,168.8643,57.99,67,98,10.0
32,Kodiak,US,2021-04-04 19:41:52,57.79,-152.4072,42.8,70,1,4.61
33,Houma,US,2021-04-04 19:38:35,29.5958,-90.7195,72.0,43,1,10.36
34,Cap Malheureux,MU,2021-04-04 19:43:10,-19.9842,57.6142,81.0,76,5,7.0
35,Butaritari,KI,2021-04-04 19:42:00,3.0707,172.7902,81.81,80,100,14.88
36,Seymchan,RU,2021-04-04 19:43:10,62.8833,152.4333,-8.5,97,100,2.3
37,Meulaboh,ID,2021-04-04 19:43:11,4.1363,96.1285,76.46,88,100,2.77
38,Shelburne,CA,2021-04-04 19:43:11,44.0787,-80.2041,57.2,30,1,11.5
39,Beisfjord,NO,2021-04-04 19:43:11,68.3751,17.5988,32.0,80,40,5.75
40,Qaanaaq,GL,2021-04-04 19:41:45,77.484,-69.3632,-11.83,68,25,5.88
41,Tuatapere,NZ,2021-04-04 19:41:27,-46.1333,167.6833,57.99,67,96,10.0
42,Grindavik,IS,2021-04-04 19:42:04,63.8424,-22.4338,19.4,49,75,16.11
43,Acapulco,MX,2021-04-04 19:42:41,16.8634,-99.8901,86.0,66,1,8.05
44,Santa Isabel Do Rio Negro,BR,2021-04-04 19:43:12,-0.4139,-65.0192,83.5,80,98,3.65
45,Nikolskoye,RU,2021-04-04 19:42:09,59.7035,30.7861,41.0,75,40,8.95
46,Campos Altos,BR,2021-04-04 19:43:12,-19.6961,-46.1714,73.0,67,100,4.68
47,Port Alfred,ZA,2021-04-04 19:41:33,-33.5906,26.891,65.28,90,29,11.65
48,Hervey Bay,AU,2021-04-04 19:43:12,-25.2986,152.8535,73.0,97,100,5.99
49,Itacarambi,BR,2021-04-04 19:43:13,-15.1022,-44.0919,83.55,54,99,5.5
50,Haapiti,PF,2021-04-04 19:43:13,-17.5667,-149.8667,84.2,74,40,5.75
51,Vestmanna,FO,2021-04-04 19:43:13,62.1564,-7.1664,23.0,68,75,40.29
52,Luderitz,NA,2021-04-04 19:41:21,-26.6481,15.1594,70.72,66,0,16.6
53,Sechura,PE,2021-04-04 19:43:14,-5.5569,-80.8222,81.07,60,31,13.11
